city,state,incident_rate_per_1000_valet_visits,valet_density_score,top_damage_type,avg_damage_claim_usd,enforcement_strictness,season_peak
New York,NY,12.4,9.5,Scratched bumper,850,Moderate,Winter
Los Angeles,CA,11.8,8.7,Curbs rash,720,Loose,Spring
Miami,FL,10.9,9.1,Door dings,680,Loose,Winter
Chicago,IL,10.5,8.9,Scratched bumper,780,Moderate,Winter
San Francisco,CA,9.8,8.3,Door dings,620,Strict,Summer
Boston,MA,9.2,7.8,Curbs rash,650,Strict,Winter
Dallas,TX,8.7,8.4,Bumper scrape,540,Loose,Summer
Austin,TX,8.4,7.5,Bumper scrape,500,Loose,Spring
Atlanta,GA,7.9,7.2,Door dings,490,Loose,Summer
Houston,TX,7.6,7.9,Bumper scrape,510,Loose,Summer
Seattle,WA,7.3,6.8,Scratched bumper,580,Moderate,Fall
Denver,CO,6.9,6.5,Curbs rash,470,Moderate,Winter
Philadelphia,PA,6.8,6.2,Door dings,520,Moderate,Winter
San Diego,CA,6.5,6.0,Bumper scrape,460,Loose,Spring
Phoenix,AZ,5.8,5.3,Curbs rash,390,Loose,Summer
Portland,OR,5.5,5.8,Scratched bumper,440,Moderate,Fall
Las Vegas,NV,5.3,7.6,Door dings,420,Loose,Spring
Nashville,TN,4.9,5.1,Bumper scrape,380,Loose,Fall
Charlotte,NC,4.6,4.5,Curbs rash,360,Moderate,Fall
Indianapolis,IN,4.2,4.0,Scratched bumper,340,Moderate,Winter
Detroit,MI,3.9,3.5,Door dings,410,Moderate,Winter
Columbus,OH,3.7,3.8,Bumper scrape,320,Loose,Fall
San Antonio,TX,3.5,3.6,Curbs rash,350,Loose,Summer
Baltimore,MD,3.3,3.9,Scratched bumper,380,Moderate,Winter
Cincinnati,OH,3.1,3.2,Bumper scrape,300,Loose,Fall
Milwaukee,WI,2.9,2.8,Door dings,310,Moderate,Winter
Kansas City,MO,2.8,3.0,Curbs rash,290,Loose,Summer
Cleveland,OH,2.7,2.5,Scratched bumper,330,Moderate,Winter
Jacksonville,FL,2.5,2.3,Bumper scrape,280,Loose,Summer
Honolulu,HI,2.3,3.7,Curbs rash,350,Strict,Winter
St. Louis,MO,2.2,2.4,Door dings,310,Loose,Fall
Pittsburgh,PA,2.1,2.6,Scratched bumper,340,Moderate,Winter
Tampa,FL,2.0,2.9,Bumper scrape,270,Loose,Spring
Minneapolis,MN,1.9,2.2,Curbs rash,320,Moderate,Winter
Virginia Beach,VA,1.7,1.5,Scratched bumper,250,Loose,Summer
Raleigh,NC,1.6,1.8,Door dings,280,Moderate,Fall
New Orleans,LA,1.5,3.1,Bumper scrape,360,Loose,Spring
Louisville,KY,1.4,1.6,Curbs rash,270,Loose,Fall
Memphis,TN,1.3,1.4,Scratched bumper,290,Loose,Summer
Sacramento,CA,1.2,1.7,Door dings,260,Moderate,Spring
